Date,Task ID,Name,Method,dTmin,min_dQ,Solve Time,ESM TAC,Stages,N Recovery Units,N CU Units,N HU Units,Total Annual Cost,Model Objective Value,Solver,Solver Status,Verification Failures
2026-06-15T05:23:29Z,pdm-f20f092931d5,P-+--PDM-2,PDM,2.0,0.0,0.17611384391784668,9833442.852739377,4,19,3,2,9833442.852739377,35520.0,apopt,1,
2026-06-15T05:23:29Z,pdm-46b990ed04ae,P-+--PDM-4,PDM,4.0,0.0,0.2066659927368164,5558359.039171758,6,40,2,2,5558359.039171758,37120.0,apopt,1,
2026-06-15T05:23:29Z,pdm-1897087f3f02,P-+--PDM-6,PDM,6.0,0.0,0.5938549041748047,4078705.0871749115,4,27,3,2,4078705.0871749115,45520.0,apopt,1,
2026-06-15T05:23:29Z,pdm-6d1e92eeee74,P-+--PDM-8,PDM,8.0,0.0,0.2463529109954834,3941775.0208550007,3,22,3,4,3941775.0208550007,55610.37037,apopt,1,
2026-06-15T05:23:29Z,pdm-6a97edb0eaab,P-+--PDM-10,PDM,10.0,0.0,0.14616870880126953,3434007.8721263036,3,20,3,2,3434007.8721263036,55680.0,apopt,1,
2026-06-15T05:23:29Z,pdm-6e82acb7c2ac,P-+--PDM-12,PDM,12.0,0.0,0.19285893440246582,3287727.4632463474,4,25,3,2,3287727.4632463474,48291.176471,apopt,1,
2026-06-15T05:23:29Z,pdm-afbf3fb60e09,P-+--PDM-14,PDM,14.0,0.0,0.5166721343994141,3241199.480942283,4,22,3,2,3241199.480942283,49211.176471,apopt,1,
2026-06-15T05:23:29Z,pdm-47dc977bd325,P-+--PDM-16,PDM,16.0,0.0,0.22267913818359375,3093032.1585603594,4,18,3,2,3093032.1585603594,49040.0,apopt,1,
2026-06-15T05:23:29Z,pdm-284824a32ad2,P-+--PDM-18,PDM,18.0,0.0,0.5023448467254639,3041041.604859408,4,22,3,2,3041041.604859408,49960.0,apopt,1,
2026-06-15T05:23:29Z,pdm-e9fa3ef07556,P-+--PDM-20,PDM,20.0,0.0,0.24112415313720703,3309709.9845754,3,16,3,4,3309709.9845754,60587.019892,apopt,1,
2026-06-15T05:23:29Z,tdm-941b8a9554a3,P-S4--TDM-0.5,TDM,2.0,0.5,0.6696581840515137,3176394.361163489,3,10,3,3,3176394.361163489,20647.439597,apopt,1,
2026-06-15T05:23:29Z,tdm-351927c9f13c,P-S4--TDM-0.9,TDM,2.0,0.9,73.74814701080322,3075860.557404046,4,14,3,5,3075860.557404046,21664.58468384409,couenne,1,
2026-06-15T05:23:29Z,tdm-352abfb60567,P-S4--TDM-1.3,TDM,2.0,1.3,84.44632601737976,2971372.874364446,4,13,3,4,2971372.874364446,23840.04155913985,couenne,1,
2026-06-15T05:23:29Z,tdm-cf7c1e0a63ca,P-S4--TDM-1.7,TDM,2.0,1.7,72.81253409385681,3055597.1896294244,4,13,3,3,3055597.1896294244,25886.38547672533,couenne,1,
2026-06-15T05:23:29Z,tdm-d5a7e88d9b5f,P-S4--TDM-2.1,TDM,2.0,2.1,72.19271779060364,3038500.296220501,4,13,3,4,3038500.296220501,27560.344204501558,couenne,1,
2026-06-15T05:23:29Z,tdm-c59db75fed27,P-S4--TDM-2.4,TDM,2.0,2.4,66.26308417320251,3148911.919491006,4,16,3,5,3148911.919491006,28572.56521237493,couenne,1,
2026-06-15T05:23:29Z,tdm-e49917c1944d,P-S4--TDM-2.8,TDM,2.0,2.8,67.36690282821655,3143488.1632926455,4,14,3,4,3143488.1632926455,30258.38059630456,couenne,1,
2026-06-15T05:23:29Z,tdm-cd90516099e8,P-S4--TDM-3.2,TDM,2.0,3.2,66.77137804031372,3194052.5474280207,4,14,3,4,3194052.5474280207,31475.360604929872,couenne,1,
2026-06-15T05:23:29Z,tdm-fedf90a82649,P-S4--TDM-3.6,TDM,2.0,3.6,54.8371148109436,3265739.587803889,4,14,4,5,3265739.587803889,33203.0482246219,couenne,1,
2026-06-15T05:23:29Z,tdm-601a2902a997,P-S4--TDM-4.0,TDM,2.0,4.0,64.42764902114868,3315675.1101005375,4,12,4,5,3315675.1101005375,34560.85249896016,couenne,1,
2026-06-15T05:23:29Z,tdm-4fde9f1eb3bd,P-S6--TDM-0.5,TDM,4.0,0.5,102.13202476501465,3503558.1907179137,6,16,3,3,3503558.1907179137,17998.672897374505,couenne,1,
2026-06-15T05:23:29Z,tdm-652f94d0ad95,P-S6--TDM-0.9,TDM,4.0,0.9,1.035336971282959,3087639.020130798,5,15,3,2,3087639.020130798,21385.31274,apopt,1,
2026-06-15T05:23:29Z,tdm-d513278d571e,P-S6--TDM-1.3,TDM,4.0,1.3,0.7643280029296875,3132356.2688873895,5,13,3,2,3132356.2688873895,22649.192898,apopt,1,
2026-06-15T05:23:29Z,tdm-522ec818d581,P-S6--TDM-1.7,TDM,4.0,1.7,0.8287680149078369,3105419.883011074,5,13,3,3,3105419.883011074,24786.52627,apopt,1,
2026-06-15T05:23:29Z,tdm-92e8420f263b,P-S6--TDM-2.1,TDM,4.0,2.1,0.8380510807037354,3003209.627325635,4,11,3,4,3003209.627325635,26483.405471,apopt,1,
2026-06-15T05:23:29Z,tdm-54c31f65bd77,P-S6--TDM-2.4,TDM,4.0,2.4,0.646702766418457,3111741.23274469,4,16,3,3,3111741.23274469,29630.625234,apopt,1,
2026-06-15T05:23:29Z,tdm-ad6a6e77cb28,P-S6--TDM-2.8,TDM,4.0,2.8,0.7596540451049805,3106708.003115414,5,11,4,4,3106708.003115414,28644.656139,apopt,1,
2026-06-15T05:23:29Z,tdm-f593a96d101b,P-S6--TDM-3.2,TDM,4.0,3.2,1.2896978855133057,3171142.577904465,5,12,4,3,3171142.577904465,31355.090887,apopt,1,
2026-06-15T05:23:29Z,tdm-501c9f028baa,P-S6--TDM-3.6,TDM,4.0,3.6,0.7213408946990967,3202866.780634009,4,12,4,4,3202866.780634009,31927.262822,apopt,1,
2026-06-15T05:23:29Z,tdm-44242cf6ec1b,P-S6--TDM-4.0,TDM,4.0,4.0,1.2536630630493164,3290802.473781314,5,15,3,4,3290802.473781314,34048.754945,apopt,1,
2026-06-15T05:23:29Z,tdm-01554bce0c99,P-S4--TDM-0.5,TDM,6.0,0.5,62.64796590805054,3278004.7389072706,4,16,3,2,3278004.7389072706,19607.890552281635,couenne,1,
2026-06-15T05:23:29Z,tdm-aa1647d7bb5d,P-S4--TDM-0.9,TDM,6.0,0.9,80.60054206848145,3168981.5344304666,4,16,3,3,3168981.5344304666,21039.56599435125,couenne,1,
2026-06-15T05:23:29Z,tdm-aa57a02fbf83,P-S4--TDM-1.3,TDM,6.0,1.3,49.81945490837097,2931591.161435126,4,13,4,2,2931591.161435126,22740.111899923497,couenne,1,
2026-06-15T05:23:29Z,tdm-0aa259340d83,P-S4--TDM-1.7,TDM,6.0,1.7,51.71152305603027,2980728.1753333597,4,14,3,3,2980728.1753333597,24720.31586580823,couenne,1,
2026-06-15T05:23:29Z,tdm-ec285f95f4e9,P-S4--TDM-2.1,TDM,6.0,2.1,59.916340827941895,2995426.7698662314,4,17,4,3,2995426.7698662314,24706.03335784628,couenne,1,
2026-06-15T05:23:29Z,tdm-0900850f0489,P-S4--TDM-2.4,TDM,6.0,2.4,88.43449687957764,3005536.8263888247,4,17,3,4,3005536.8263888247,26142.71754160973,couenne,1,
2026-06-15T05:23:29Z,tdm-2fd5c8275b36,P-S4--TDM-2.8,TDM,6.0,2.8,92.42801403999329,3022779.5346903694,4,16,3,3,3022779.5346903694,27728.479167323094,couenne,1,
2026-06-15T05:23:29Z,tdm-571cedecca2e,P-S4--TDM-3.2,TDM,6.0,3.2,86.45080900192261,3075843.4581957655,4,15,3,3,3075843.4581957655,29374.9105196898,couenne,1,
2026-06-15T05:23:29Z,tdm-a2632685a9bd,P-S4--TDM-3.6,TDM,6.0,3.6,87.18085408210754,3148671.769662407,4,15,4,5,3148671.769662407,31217.66761987942,couenne,1,
2026-06-15T05:23:29Z,tdm-8e5c521e0185,P-S4--TDM-4.0,TDM,6.0,4.0,73.9058108329773,3191952.7393353507,4,17,4,4,3191952.7393353507,31888.26397453863,couenne,1,
2026-06-15T05:23:29Z,tdm-d9a4e8994fad,P-S3--TDM-0.5,TDM,8.0,0.5,74.32694005966187,3447025.5907711163,3,11,3,4,3447025.5907711163,25171.3720806593,couenne,1,
2026-06-15T05:23:29Z,tdm-4f9c1211a5c1,P-S3--TDM-0.9,TDM,8.0,0.9,82.72003889083862,3369298.7667233,3,13,3,4,3369298.7667233,26453.037059964623,couenne,1,
2026-06-15T05:23:29Z,tdm-3c93a31756f1,P-S3--TDM-1.3,TDM,8.0,1.3,89.37167310714722,3274335.9755884935,3,14,3,5,3274335.9755884935,28292.95720783234,couenne,1,
2026-06-15T05:23:29Z,tdm-e34cf19dfde6,P-S3--TDM-1.7,TDM,8.0,1.7,67.45892691612244,3325573.0754740397,3,13,3,5,3325573.0754740397,30231.200667608373,couenne,1,
2026-06-15T05:23:29Z,tdm-bd4147a18239,P-S3--TDM-2.1,TDM,8.0,2.1,60.04050922393799,3433536.6253592256,3,12,3,5,3433536.6253592256,32161.345627438997,couenne,1,
2026-06-15T05:23:29Z,tdm-3ddaf051ddc5,P-S3--TDM-2.4,TDM,8.0,2.4,69.434650182724,3403882.9111933406,3,12,3,5,3403882.9111933406,33514.193423872275,couenne,1,
2026-06-15T05:23:29Z,tdm-deaccd7a40e0,P-S3--TDM-2.8,TDM,8.0,2.8,65.37819004058838,3472825.868125301,3,13,3,5,3472825.868125301,35106.05616235245,couenne,1,
2026-06-15T05:23:29Z,tdm-c4e55838438c,P-S3--TDM-3.2,TDM,8.0,3.2,66.37654995918274,3539492.2107034465,3,14,4,5,3539492.2107034465,36825.95515401864,couenne,1,
2026-06-15T05:23:29Z,tdm-d29623eb3b80,P-S3--TDM-3.6,TDM,8.0,3.6,54.51312279701233,3585771.483472953,3,12,4,5,3585771.483472953,38428.49342937794,couenne,1,
2026-06-15T05:23:29Z,tdm-8aebebda0f30,P-S3--TDM-4.0,TDM,8.0,4.0,53.86407780647278,3654337.0956658805,3,14,4,5,3654337.0956658805,39683.945946757114,couenne,1,
2026-06-15T05:23:29Z,tdm-7220f632a19e,P-S3--TDM-0.5,TDM,10.0,0.5,53.4164080619812,3276128.424644059,3,11,3,2,3276128.424644059,20643.74584092118,couenne,1,
2026-06-15T05:23:29Z,tdm-41d2fd7b36cf,P-S3--TDM-0.9,TDM,10.0,0.9,72.51906394958496,3123127.413685482,3,11,3,3,3123127.413685482,23027.204063229878,couenne,1,
2026-06-15T05:23:29Z,tdm-a6487a8f7cf8,P-S3--TDM-1.3,TDM,10.0,1.3,87.5561192035675,3023692.8829640863,3,12,3,4,3023692.8829640863,24152.69328508284,couenne,1,
2026-06-15T05:23:29Z,tdm-0837e0315b9b,P-S3--TDM-1.7,TDM,10.0,1.7,100.36785221099854,2981596.4339008373,3,11,3,4,2981596.4339008373,25568.423880385093,couenne,1,
2026-06-15T05:23:29Z,tdm-ef6d476c8e7c,P-S3--TDM-2.1,TDM,10.0,2.1,61.97998404502869,3011623.1649408108,3,11,3,4,3011623.1649408108,27208.52187368518,couenne,1,
2026-06-15T05:23:29Z,tdm-751b1bb5f293,P-S3--TDM-2.4,TDM,10.0,2.4,67.00586700439453,3045292.572126013,3,12,3,3,3045292.572126013,28399.995977457405,couenne,1,
2026-06-15T05:23:29Z,tdm-a6fce21e0a7e,P-S3--TDM-2.8,TDM,10.0,2.8,58.791589975357056,3094491.67886183,3,11,3,3,3094491.67886183,29881.44960400587,couenne,1,
2026-06-15T05:23:29Z,tdm-726d9632d40f,P-S3--TDM-3.2,TDM,10.0,3.2,62.723304986953735,3158481.6723526553,3,10,3,5,3158481.6723526553,31390.61251460683,couenne,1,
2026-06-15T05:23:29Z,tdm-47d86d0a33a1,P-S3--TDM-3.6,TDM,10.0,3.6,65.41271710395813,3222912.42645156,3,13,3,5,3222912.42645156,32768.955081176246,couenne,1,
2026-06-15T05:23:29Z,tdm-2e5c85f1dd97,P-S3--TDM-4.0,TDM,10.0,4.0,64.98743796348572,3288927.6772519704,3,10,3,5,3288927.6772519704,34272.33056581803,couenne,1,
2026-06-15T05:23:29Z,tdm-985837225ec6,P-S4--TDM-0.5,TDM,12.0,0.5,111.07930088043213,3151268.2398229805,4,12,3,3,3151268.2398229805,20216.499279987544,couenne,1,
2026-06-15T05:23:29Z,tdm-bbbab4ce997c,P-S4--TDM-0.9,TDM,12.0,0.9,91.61872005462646,3083926.580652352,4,15,3,2,3083926.580652352,21607.370877305046,couenne,1,
2026-06-15T05:23:29Z,tdm-1f8be065f85f,P-S4--TDM-1.3,TDM,12.0,1.3,84.00751113891602,3008439.1662804135,4,15,3,2,3008439.1662804135,23440.3768346656,couenne,1,
2026-06-15T05:23:29Z,tdm-2ea4d4068786,P-S4--TDM-1.7,TDM,12.0,1.7,90.17787313461304,3034191.482890343,4,12,3,4,3034191.482890343,25462.111407386357,couenne,1,
2026-06-15T05:23:29Z,tdm-b1a28486d591,P-S4--TDM-2.1,TDM,12.0,2.1,82.02368474006653,3065458.6315665827,4,12,3,4,3065458.6315665827,27076.510182358157,couenne,1,
2026-06-15T05:23:29Z,tdm-3afaf9c3bed6,P-S4--TDM-2.4,TDM,12.0,2.4,84.91749572753906,3083096.734934425,4,16,3,3,3083096.734934425,28289.451567324428,couenne,1,
2026-06-15T05:23:29Z,tdm-e380f5c161a8,P-S4--TDM-2.8,TDM,12.0,2.8,68.63601207733154,3170976.481324824,4,15,3,3,3170976.481324824,29701.32287368465,couenne,1,
2026-06-15T05:23:29Z,tdm-1e790bb636f5,P-S4--TDM-3.2,TDM,12.0,3.2,124.13805198669434,3193789.972024206,4,16,4,3,3193789.972024206,31654.314404491593,couenne,1,
2026-06-15T05:23:29Z,tdm-070ad7ea0d35,P-S4--TDM-3.6,TDM,12.0,3.6,87.28715085983276,3223192.9455533316,4,16,4,5,3223192.9455533316,32294.31465198936,couenne,1,
2026-06-15T05:23:29Z,tdm-ddc0fa8de506,P-S4--TDM-4.0,TDM,12.0,4.0,77.45108103752136,3284588.1034476953,4,14,3,5,3284588.1034476953,33910.80051698246,couenne,1,
2026-06-15T05:23:29Z,tdm-98900665dd56,P-S4--TDM-0.9,TDM,14.0,0.9,70.08410215377808,3013838.3902690434,4,12,3,2,3013838.3902690434,21482.29696026621,couenne,1,
2026-06-15T05:23:29Z,tdm-a54944d6b441,P-S4--TDM-1.3,TDM,14.0,1.3,120.82123708724976,2969280.7177481134,4,14,3,2,2969280.7177481134,23345.29940906301,couenne,1,
2026-06-15T05:23:29Z,tdm-4e17409b69de,P-S4--TDM-1.7,TDM,14.0,1.7,167.58847188949585,2974253.4857400237,4,15,3,3,2974253.4857400237,25348.16375040103,couenne,1,
2026-06-15T05:23:29Z,tdm-e0f66ce1624f,P-S4--TDM-2.1,TDM,14.0,2.1,84.80763697624207,2996959.3642249983,4,14,3,3,2996959.3642249983,27237.11798358149,couenne,1,
2026-06-15T05:23:29Z,tdm-c277f384d1b3,P-S4--TDM-2.4,TDM,14.0,2.4,74.86720108985901,3180813.6760449116,4,15,3,4,3180813.6760449116,28446.341772021377,couenne,1,
2026-06-15T05:23:29Z,tdm-f1367de7ea74,P-S4--TDM-2.8,TDM,14.0,2.8,54.8949248790741,3107983.661274461,4,14,4,4,3107983.661274461,30511.68920791371,couenne,1,
2026-06-15T05:23:29Z,tdm-4d4344546331,P-S4--TDM-3.2,TDM,14.0,3.2,51.26176881790161,3191560.4072700664,4,16,4,3,3191560.4072700664,32445.896736458755,couenne,1,
2026-06-15T05:23:29Z,tdm-228ef3e4a373,P-S4--TDM-3.6,TDM,14.0,3.6,53.45625281333923,3251814.744707194,4,13,4,3,3251814.744707194,33942.05293537625,couenne,1,
2026-06-15T05:23:29Z,tdm-823cc4ac917c,P-S4--TDM-4.0,TDM,14.0,4.0,45.42595028877258,3546527.235228325,4,14,4,3,3546527.235228325,35876.47405634281,couenne,1,
2026-06-15T05:23:29Z,tdm-3b1b6559399d,P-S4--TDM-0.9,TDM,16.0,0.9,29.393738985061646,2964140.2325159633,4,12,3,2,2964140.2325159633,21580.747775952543,couenne,1,
2026-06-15T05:23:29Z,tdm-bd5577638158,P-S4--TDM-1.3,TDM,16.0,1.3,60.342421770095825,2948004.483695717,4,14,3,4,2948004.483695717,23479.109029030056,couenne,1,
2026-06-15T05:23:29Z,tdm-26e8e654998b,P-S4--TDM-1.7,TDM,16.0,1.7,70.15151691436768,2958246.3111879914,4,12,3,3,2958246.3111879914,25802.935192433702,couenne,1,
2026-06-15T05:23:29Z,tdm-d1f45fe1a33a,P-S4--TDM-2.1,TDM,16.0,2.1,49.24081897735596,2983965.3910616427,4,11,3,3,2983965.3910616427,27572.5198863591,couenne,1,
2026-06-15T05:23:29Z,tdm-325135093031,P-S4--TDM-3.6,TDM,16.0,3.6,57.361884117126465,3233176.8325884766,4,11,4,3,3233176.8325884766,33898.47491859717,couenne,1,
2026-06-15T05:23:29Z,tdm-ac973be4c15d,P-S4--TDM-4.0,TDM,16.0,4.0,52.08118176460266,3319606.067045683,4,13,4,4,3319606.067045683,35408.69606904496,couenne,1,
2026-06-15T05:23:29Z,tdm-6e4d90aa12d5,P-S4--TDM-0.5,TDM,18.0,0.5,77.33413410186768,3306041.680273831,4,15,3,3,3306041.680273831,18817.121224639763,couenne,1,
2026-06-15T05:23:29Z,tdm-48d7796d3b34,P-S4--TDM-0.9,TDM,18.0,0.9,73.7392098903656,3090885.000130847,4,15,3,2,3090885.000130847,20145.58409300087,couenne,1,
2026-06-15T05:23:29Z,tdm-06f2b24f9f22,P-S4--TDM-1.3,TDM,18.0,1.3,86.91908097267151,2960236.191279407,4,16,3,4,2960236.191279407,21727.245016832756,couenne,1,
2026-06-15T05:23:29Z,tdm-074c2e6997e3,P-S4--TDM-1.7,TDM,18.0,1.7,72.11947989463806,2932067.745062034,4,17,3,5,2932067.745062034,23255.46328603817,couenne,1,
2026-06-15T05:23:29Z,tdm-a712063655d4,P-S4--TDM-2.1,TDM,18.0,2.1,93.60558700561523,2922859.423216113,4,14,3,4,2922859.423216113,25138.434331541546,couenne,1,
